KOMKODE,navn,year,mun
101,København,2006,0.17780289
147,Frederiksberg,2015,0.07524347
151,Ballerup,2013,0.10742008
153,Brøndby,2011,0.14608242
155,Dragør,2007,0.10888562
157,Gentofte,2012,0.06975574
159,Gladsaxe,2013,0.09634893
161,Glostrup,2009,0.08898674
163,Herlev,2007,0.15205644
165,Albertslund,2016,0.15853219
167,Hvidovre,2013,0.11955336
169,Høje-Taastrup,2005,0.13201332
173,Lyngby-Taarbæk,2008,0.076397106
175,Rødovre,2009,0.0904704
183,Ishøj,2018,0.29003242
185,Tårnby,2014,0.09355064
187,Vallensbæk,2007,0.13822484
190,Furesø,2006,0.11146789
201,Allerød,2012,0.03367464
210,Fredensborg,2004,0.12031355
217,Helsingør,2016,0.1399009
219,Hillerød,2015,0.07925613
223,Hørsholm,2016,0.048243023
230,Rudersdal,2014,0.09586668
240,Egedal,2018,0.073220246
250,Frederikssund,2015,0.087177575
253,Greve,2008,0.060558535
259,Køge,2005,0.09056343
260,Halsnæs,2015,0.1407223
265,Roskilde,2004,0.08231905
269,Solrød,2004,0.042884864
270,Gribskov,2010,0.113283835
306,Odsherred,2004,0.14370859
316,Holbæk,2009,0.13664596
320,Faxe,2012,0.09638135
326,Kalundborg,2009,0.106695645
329,Ringsted,2003,0.065601155
330,Slagelse,2014,0.186141
336,Stevns,2018,0.16330326
340,Sorø,2013,0.1332361
350,Lejre,2009,0.07193005
360,Lolland,2007,0.18278582
370,Næstved,2011,0.117349334
376,Guldborgsund,2014,0.15745836
390,Vordingborg,2010,0.06496859
400,Bornholm,2005,0.099391565
410,Middelfart,2017,0.11254508
420,Assens,2017,0.2217485
430,Faaborg-Midtfyn,2011,0.115775436
440,Kerteminde,2007,0.061778672
450,Nyborg,2009,0.07016742
461,Odense,2010,0.141097
479,Svendborg,2011,0.10474053
480,Nordfyns,2018,0.16893995
482,Langeland,2010,0.14630446
510,Haderslev,2005,0.12167732
530,Billund,2013,0.07420532
540,Sønderborg,2007,0.08240187
550,Tønder,2018,0.14965695
561,Esbjerg,2005,0.13889925
573,Varde,2005,0.06878602
575,Vejen,2014,0.098118626
580,Aabenraa,2005,0.10741606
607,Fredericia,2003,0.08013711
615,Horsens,2010,0.12943038
621,Kolding,2009,0.09348412
630,Vejle,2004,0.087543815
657,Herning,2011,0.09377839
661,Holstebro,2008,0.073750645
665,Lemvig,2003,0.05602116
671,Struer,2009,0.04944643
706,Syddjurs,2011,0.0838344
707,Norddjurs,2013,0.13711362
710,Favrskov,2012,0.049321182
727,Odder,2012,0.048695
730,Randers,2016,0.13595551
740,Silkeborg,2013,0.065560535
746,Skanderborg,2013,0.058470704
751,Aarhus,2017,0.18143183
756,Ikast-Brande,2003,0.07442742
760,Ringkøbing-Skjern,2005,0.07153024
766,Hedensted,2018,0.07863523
773,Morsø,2010,0.061523594
779,Skive,2008,0.08089023
787,Thisted,2004,0.070442736
791,Viborg,2018,0.122371875
810,Brønderslev,2010,0.046999127
813,Frederikshavn,2004,0.07929463
820,Vesthimmerlands,2003,0.075109534
840,Rebild,2010,0.10040221
846,Mariagerfjord,2003,0.063210316
849,Jammerbugt,2009,0.09728699
851,Aalborg,2018,0.12766439
